id,studentid,jobid,action,content
1,2012310575,0,BEGIN_CALIBRATION,TIMESTAMP=1445937713423	USER=2012310575	JOBID=0	ACTION=BEGIN_CALIBRATION	INFO:
2,2012310575,0,END_CALIBRATION,TIMESTAMP=1445937742526	USER=2012310575	JOBID=0	ACTION=END_CALIBRATION	INFO:
3,2012310575,0,BEGIN_READING,TIMESTAMP=1445937784666	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
4,2012310575,0,END_READING,TIMESTAMP=1445937796142	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
5,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1445937810086	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=15
6,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1445937811046	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=15
7,2012310575,0,BEGIN_READING,TIMESTAMP=1445937815363	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
8,2012310575,0,END_READING,TIMESTAMP=1445937817093	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
9,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1445937817957	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=0
10,2012310575,0,BEGIN_READING,TIMESTAMP=1445937820807	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
11,2012310575,0,END_READING,TIMESTAMP=1445937822253	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=3
12,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1445937823181	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=0
13,2012310575,0,BEGIN_READING,TIMESTAMP=1445937824760	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
14,2012310575,0,END_READING,TIMESTAMP=1445937826214	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
15,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1445937828270	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=8
16,2015011315,0,BEGIN_CALIBRATION,TIMESTAMP=1445937917045	USER=2015011315	JOBID=0	ACTION=BEGIN_CALIBRATION	INFO:
17,2015011315,0,END_CALIBRATION,TIMESTAMP=1445937975476	USER=2015011315	JOBID=0	ACTION=END_CALIBRATION	INFO:
18,2015011315,0,BEGIN_READING,TIMESTAMP=1445937990383	USER=2015011315	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
19,2015011315,0,END_READING,TIMESTAMP=1445938074019	USER=2015011315	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
20,2015011315,0,TIME_ESTIMATION,TIMESTAMP=1445938088924	USER=2015011315	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=86
21,2015011315,0,BEGIN_READING,TIMESTAMP=1445938092894	USER=2015011315	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
22,2015011315,0,END_READING,TIMESTAMP=1445938162731	USER=2015011315	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
23,2015011315,0,TIME_ESTIMATION,TIMESTAMP=1445938169562	USER=2015011315	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=44
24,2015011315,0,BEGIN_READING,TIMESTAMP=1445938171988	USER=2015011315	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
25,2015011315,0,END_READING,TIMESTAMP=1445938237554	USER=2015011315	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=3
26,2015011315,0,TIME_ESTIMATION,TIMESTAMP=1445938250290	USER=2015011315	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=46
27,2015011315,0,BEGIN_READING,TIMESTAMP=1445938253381	USER=2015011315	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
28,2015011315,0,END_READING,TIMESTAMP=1445938330761	USER=2015011315	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=4
29,2015011315,0,TIME_ESTIMATION,TIMESTAMP=1445938338409	USER=2015011315	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=72
30,2015011315,1,BEGIN_CALIBRATION,TIMESTAMP=1445938375962	USER=2015011315	JOBID=1	ACTION=BEGIN_CALIBRATION	INFO:
31,2015011315,1,END_CALIBRATION,TIMESTAMP=1445938415234	USER=2015011315	JOBID=1	ACTION=END_CALIBRATION	INFO:
32,2015011315,1,BEGIN_READING,TIMESTAMP=1445938419350	USER=2015011315	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
33,2015011315,1,END_READING,TIMESTAMP=1445938512384	USER=2015011315	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
34,2015011315,1,TIME_ESTIMATION,TIMESTAMP=1445938525144	USER=2015011315	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=56
35,2015011315,1,BEGIN_READING,TIMESTAMP=1445938528947	USER=2015011315	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
36,2015011315,1,END_READING,TIMESTAMP=1445938596975	USER=2015011315	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
37,2015011315,1,TIME_ESTIMATION,TIMESTAMP=1445938603823	USER=2015011315	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=37
38,2015011315,1,BEGIN_READING,TIMESTAMP=1445938606513	USER=2015011315	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
39,2015011315,1,END_READING,TIMESTAMP=1445938675943	USER=2015011315	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
40,2015011315,1,TIME_ESTIMATION,TIMESTAMP=1445938688399	USER=2015011315	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=36
41,2015011315,1,BEGIN_READING,TIMESTAMP=1445938691969	USER=2015011315	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
42,2015011315,1,END_READING,TIMESTAMP=1445938747279	USER=2015011315	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
43,2015011315,1,TIME_ESTIMATION,TIMESTAMP=1445938757487	USER=2015011315	JOBID=1	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=36
44,2015011315,2,BEGIN_CALIBRATION,TIMESTAMP=1445938778224	USER=2015011315	JOBID=2	ACTION=BEGIN_CALIBRATION	INFO:
45,2015011315,2,END_CALIBRATION,TIMESTAMP=1445938842302	USER=2015011315	JOBID=2	ACTION=END_CALIBRATION	INFO:
46,2015011315,2,BEGIN_READING,TIMESTAMP=1445938845579	USER=2015011315	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
47,2015011315,2,END_READING,TIMESTAMP=1445938912853	USER=2015011315	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
48,2015011315,2,TIME_ESTIMATION,TIMESTAMP=1445938919773	USER=2015011315	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=54
49,2015011315,2,BEGIN_READING,TIMESTAMP=1445938922762	USER=2015011315	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
50,2015011315,2,END_READING,TIMESTAMP=1445938957172	USER=2015011315	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
51,2015011315,2,TIME_ESTIMATION,TIMESTAMP=1445938964213	USER=2015011315	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=31
52,2015011315,2,BEGIN_READING,TIMESTAMP=1445938967038	USER=2015011315	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
53,2015011315,2,END_READING,TIMESTAMP=1445939008485	USER=2015011315	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
54,2015011315,2,TIME_ESTIMATION,TIMESTAMP=1445939018005	USER=2015011315	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=3 ET=27
55,2015011315,2,BEGIN_READING,TIMESTAMP=1445939020039	USER=2015011315	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
56,2015011315,2,END_READING,TIMESTAMP=1445939141635	USER=2015011315	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
57,2015011315,2,TIME_ESTIMATION,TIMESTAMP=1445939152660	USER=2015011315	JOBID=2	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=4 ET=91
58,2015011315,3,BEGIN_CALIBRATION,TIMESTAMP=1445939188300	USER=2015011315	JOBID=3	ACTION=BEGIN_CALIBRATION	INFO:
59,2015011315,3,END_CALIBRATION,TIMESTAMP=1445939231316	USER=2015011315	JOBID=3	ACTION=END_CALIBRATION	INFO:
60,2015011315,3,BEGIN_READING,TIMESTAMP=1445939236263	USER=2015011315	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
61,2015011315,3,END_READING,TIMESTAMP=1445939287124	USER=2015011315	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
62,2015011315,3,TIME_ESTIMATION,TIMESTAMP=1445939292692	USER=2015011315	JOBID=3	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=48
63,2015011315,3,BEGIN_READING,TIMESTAMP=1445939294775	USER=2015011315	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
