id,jobid,settingid,taskid,docseq
1,0,1,1,1-2-4-5
2,1,1,2,1-4-2-3
3,2,1,3,1-4-2-5
4,3,1,4,1-2-4-5
5,4,1,5,1-4-2-5
6,0,2,1,1-2-4-5
7,1,2,2,1-4-2-3
8,2,2,3,1-4-2-5
9,3,2,4,1-2-4-5
10,4,2,5,1-4-2-5
11,0,3,1,1-2-4-5
12,1,3,2,1-4-2-3
13,2,3,3,1-4-2-5
14,3,3,4,1-2-4-5
15,4,3,5,1-4-2-5
16,0,4,1,1-2-4-5
17,1,4,2,1-4-2-5
18,2,4,3,1-4-2-3
19,3,4,4,1-4-2-5
20,4,4,5,1-2-4-5
21,0,5,1,1-2-4-5
22,1,5,2,1-4-2-5
23,2,5,3,1-4-2-3
24,3,5,4,1-4-2-5
25,4,5,5,1-2-4-5
26,0,6,1,1-2-4-5
27,1,6,2,1-4-2-5
28,2,6,3,1-4-2-3
29,3,6,4,1-4-2-5
30,4,6,5,1-2-4-5
