id,studentid,jobid,action,content
1,2012310575,0,BEGIN_CALIBRATION,TIMESTAMP=1447245162688	USER=2012310575	JOBID=0	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
2,2012310575,0,END_CALIBRATION,TIMESTAMP=1447245192209	USER=2012310575	JOBID=0	DOCID=0	ACTION=END_CALIBRATION	INFO:
3,2012310575,0,BEGIN_CALIBRATION,TIMESTAMP=1447245202409	USER=2012310575	JOBID=0	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
4,2012310575,0,END_CALIBRATION,TIMESTAMP=1447245215325	USER=2012310575	JOBID=0	DOCID=9	ACTION=END_CALIBRATION	INFO:
5,2012310575,0,BEGIN_READING,TIMESTAMP=1447245231601	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
6,2012310575,0,END_READING,TIMESTAMP=1447245240904	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=1
7,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1447245318787	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=1 ET=90 REL=-1 ANS=B
8,2012310575,0,BEGIN_READING,TIMESTAMP=1447245323773	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
9,2012310575,0,END_READING,TIMESTAMP=1447245328543	USER=2012310575	JOBID=0	ACTION=END_READING	INFO: CURRENT_DOC=2
10,2012310575,0,TIME_ESTIMATION,TIMESTAMP=1447245335295	USER=2012310575	JOBID=0	ACTION=TIME_ESTIMATION	INFO: CURRENT_DOC=2 ET=126 REL=2 ANS=B
11,2012310575,0,BEGIN_READING,TIMESTAMP=1447245336558	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
12,2012310575,0,BEGIN_READING,TIMESTAMP=1447245337293	USER=2012310575	JOBID=0	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
13,2015011312,0,BEGIN_CALIBRATION,TIMESTAMP=1447245487295	USER=2015011312	JOBID=0	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
14,2015011312,0,END_CALIBRATION,TIMESTAMP=1447245565392	USER=2015011312	JOBID=0	DOCID=0	ACTION=END_CALIBRATION	INFO:
15,2015011312,0,BEGIN_CALIBRATION,TIMESTAMP=1447245569311	USER=2015011312	JOBID=0	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
