userid	relevant_before	taskid	estimation	perceived_ratio	perceived_ratio_bin
U0	True	2	SEG	-0.339597509868	0
U0	True	2	RAN	-0.114010463141	1
U0	True	2	REL	-0.292702251884	0
U0	True	2	SEG	-0.191266500004	1
U0	True	2	RAN	0.0206529079938	2
U0	True	2	REL	-0.314607941441	0
U0	True	2	SEG	-0.203624475419	1
U0	True	2	RAN	-0.0159655060304	2
U0	True	2	REL	-0.0303542434825	1
U0	True	2	SEG	-0.0552934655555	1
U0	True	2	RAN	0.118697865105	2
U0	True	2	REL	-0.0522599330391	1
U0	False	3	SEG	0.0912705532304	2
U0	False	3	RAN	-0.0325989284824	1
U0	False	3	REL	-0.135546897735	1
U0	False	3	SEG	0.0911681968399	2
U0	False	3	RAN	-0.0773992532378	1
U0	False	3	REL	-0.106346829273	1
U0	False	3	SEG	-0.105574868471	1
U0	False	3	RAN	-0.15757434987	1
U0	False	3	REL	-0.276134084595	0
U0	False	4	SEG	-0.070554431218	1
U0	False	4	RAN	-0.0312029050617	1
U0	False	4	REL	-0.147419769685	1
U0	False	4	SEG	-0.0904942551706	1
U0	False	4	RAN	0.0172672220248	2
U0	False	4	REL	-0.139184954791	1
U0	True	4	SEG	-0.159611839308	1
U0	True	4	RAN	-0.153170047241	1
U0	True	4	REL	-0.160187619899	1
U0	False	4	SEG	-0.179551663261	1
U0	False	4	RAN	-0.104699920154	1
U0	False	4	REL	-0.151952805005	1
U0	False	5	SEG	-0.015108552782	2
U0	False	5	RAN	0.165194839856	2
U0	False	5	REL	0.107670995718	2
U0	False	5	SEG	-0.0436734703964	1
U0	False	5	RAN	0.11384989391	2
U0	False	5	REL	-0.115524207155	1
U0	True	5	SEG	-0.0977408173623	1
U0	True	5	RAN	-0.035220460381	1
U0	True	5	REL	-0.00177252631342	2
U0	True	5	SEG	-0.126305734977	1
U0	True	5	RAN	-0.0865654063271	1
U0	True	5	REL	-0.224967729186	1
U1	False	2	SEG	0.575689101911	4
U1	False	2	RAN	1.29375401043	4
U1	False	2	REL	0.291520848759	3
U1	False	2	SEG	0.369460506236	3
U1	False	2	RAN	0.926644189203	4
U1	False	2	REL	0.513879778613	4
U1	True	2	SEG	0.134449847062	2
U1	True	2	RAN	0.523685196828	4
U1	True	2	REL	-0.21766408555	1
U1	True	2	SEG	-0.0717787486136	1
U1	True	2	RAN	0.156575375597	2
U1	True	2	REL	0.00469484430421	2
U1	False	3	SEG	0.0821589969017	2
U1	False	3	RAN	0.149918132739	2
U1	False	3	REL	-0.240042788833	1
U1	False	3	SEG	0.237452046624	3
U1	False	3	RAN	0.181947375312	3
U1	False	3	REL	0.181947375312	3
U1	False	3	SEG	-0.312210522793	0
U1	False	3	RAN	-0.17510130882	1
U1	False	3	REL	-0.233208939628	1
U1	False	3	SEG	-0.15691747307	1
U1	False	3	RAN	-0.143072066248	1
U1	False	3	REL	0.188781224517	3
U1	True	4	SEG	-0.393473301278	0
U1	True	4	RAN	0.000847242277233	2
U1	True	4	REL	-0.625405703453	0
U1	True	4	SEG	0.138577007831	2
U1	True	4	RAN	0.0134138648771	2
U1	True	4	REL	-0.68183195234	0
U1	True	4	SEG	-0.327883962789	0
U1	True	4	RAN	0.508170806024	4
U1	True	4	REL	0.0134745641878	2
U1	True	4	SEG	0.20416634632	3
U1	True	4	RAN	0.520737428624	4
U1	True	4	REL	-0.0429516846993	1
U1	False	5	SEG	0.331282596411	3
U1	False	5	RAN	1.08714120683	4
U1	False	5	REL	0.79612023311	4
U1	True	5	SEG	0.355558129032	3
U1	True	5	RAN	0.533061765213	4
U1	True	5	REL	0.367982014853	3
U1	True	5	SEG	-0.329336373111	0
U1	True	5	RAN	0.153766374838	2
U1	True	5	REL	0.0290146698656	2
U2	True	2	SEG	-0.511490607294	0
U2	True	2	RAN	-0.483396326398	0
U2	True	2	REL	-0.711873223687	0
U2	True	2	SEG	-0.527979123874	0
U2	True	2	RAN	-0.495065556542	0
U2	True	2	REL	-0.744744661482	0
U2	True	2	SEG	-0.491547068392	0
U2	True	2	RAN	-0.463810313421	0
U2	True	2	REL	-0.716806827885	0
U2	True	2	SEG	-0.508035584973	0
U2	True	2	RAN	-0.475479543565	0
U2	True	2	REL	-0.74967826568	0
U2	False	3	SEG	-0.0485239116717	1
U2	False	3	RAN	0.129396825562	2
U2	False	3	REL	-0.218585847133	1
U2	False	3	SEG	-0.301114212591	0
U2	False	3	RAN	-0.154123776049	1
U2	False	3	REL	-0.454478399754	0
U2	True	3	SEG	0.454427747434	4
U2	True	3	RAN	0.390555353742	3
U2	True	3	REL	0.130410846013	2
U2	True	3	SEG	0.201837446515	3
U2	True	3	RAN	0.107034752131	2
U2	True	3	REL	-0.105481706609	1
U2	False	4	SEG	-0.285627417938	0
U2	False	4	RAN	-0.0243321006595	1
U2	False	4	REL	-0.00631359515685	2
U2	False	4	SEG	-0.226402450398	1
U2	False	4	RAN	0.10430848198	2
U2	False	4	REL	0.2065873311	3
U2	False	4	SEG	-0.102450999494	1
U2	False	4	RAN	-0.124923855346	1
U2	False	4	REL	-0.0321818036476	1
U2	False	4	SEG	-0.043226031954	1
U2	False	4	RAN	0.00371672729316	2
U2	False	4	REL	0.18071912261	3
U2	False	5	SEG	0.458167704496	4
U2	False	5	RAN	0.734832519106	4
U2	False	5	REL	0.557844308287	4
U2	False	5	SEG	0.340118005404	3
U2	False	5	RAN	0.452508546943	4
U2	False	5	REL	0.248984782498	3
U2	True	5	SEG	0.325978503682	3
U2	True	5	RAN	0.491963641156	4
U2	True	5	REL	0.308502915832	3
U2	False	5	SEG	0.20792880459	3
U2	False	5	RAN	0.209639668993	3
U2	False	5	REL	-0.000356609956951	2
U3	False	2	SEG	-0.16612050161	1
U3	False	2	RAN	-0.0945284084261	1
U3	False	2	REL	-0.237028471033	1
U3	False	2	SEG	-0.00948487956109	2
U3	False	2	RAN	0.275597333237	3
U3	False	2	REL	0.15217341769	2
U3	False	2	SEG	-0.0316806850388	1
U3	False	2	RAN	0.107932934243	2
U3	False	2	REL	-0.0441365793807	1
U3	True	3	SEG	0.89611199876	4
U3	True	3	RAN	0.591591361946	4
U3	True	3	REL	0.517825211706	4
U3	True	3	SEG	-0.164569227334	1
U3	True	3	RAN	-0.250019638222	1
U3	True	3	REL	-0.115488745264	1
U3	True	3	SEG	0.446646856074	4
U3	True	3	RAN	0.415255471889	4
U3	True	3	REL	0.298977327412	3
U3	True	3	SEG	-0.614034370021	0
U3	True	3	RAN	-0.426355528279	0
U3	True	3	REL	-0.334336629558	0
U3	False	4	SEG	0.188833228889	3
U3	False	4	RAN	-0.163642968503	1
U3	False	4	REL	0.09860053031	2
U3	False	4	SEG	0.204729942805	3
U3	False	4	RAN	0.326711725007	3
U3	False	4	REL	0.625322867991	4
U3	True	4	SEG	0.00363643773228	2
U3	True	4	RAN	-0.457572233888	0
U3	True	4	REL	-0.167037092454	1
U3	True	4	SEG	0.0195331516475	2
U3	True	4	RAN	0.0327824596221	2
U3	True	4	REL	0.359685245227	3
U3	False	5	SEG	-0.169382374423	1
U3	False	5	RAN	-0.0702075112399	1
U3	False	5	REL	0.169683897376	3
U3	False	5	SEG	0.351071036042	3
U3	False	5	RAN	0.532356859963	4
U3	False	5	REL	0.763468580926	4
U3	True	5	SEG	-0.496660062959	0
U3	True	5	RAN	-0.334613500027	0
U3	True	5	REL	-0.0598348324107	1
U3	False	5	SEG	0.023793347506	2
U3	False	5	RAN	0.267950871176	3
U3	False	5	REL	0.53394985114	4
U4	False	2	SEG	0.180957102354	3
U4	False	2	RAN	0.131050696758	2
U4	False	2	REL	0.132834818551	2
U4	False	2	SEG	0.602723682576	4
U4	False	2	RAN	0.293995974589	3
U4	False	2	REL	0.354620596405	3
U4	False	2	SEG	-0.00468665164565	2
U4	False	2	RAN	-0.0966268356891	1
U4	False	2	REL	-0.0902268138436	1
U4	False	2	SEG	0.417079928576	4
U4	False	2	RAN	0.0663184421417	2
U4	False	2	REL	0.13155896401	2
U4	True	3	SEG	0.467648730916	4
U4	True	3	RAN	0.575107883231	4
U4	True	3	REL	0.624784135047	4
U4	True	3	SEG	-0.0753526582317	1
U4	True	3	RAN	-0.203207592851	1
U4	True	3	REL	-0.485468422491	0
U4	True	3	SEG	0.631019472273	4
U4	True	3	RAN	0.694592276291	4
U4	True	3	REL	0.700444749487	4
U4	True	3	SEG	0.0880180831255	2
U4	True	3	RAN	-0.0837231997913	1
U4	True	3	REL	-0.409807808051	0
U4	False	4	SEG	-0.355477418681	0
U4	False	4	RAN	-0.615760516945	0
U4	False	4	REL	-0.661932161212	0
U4	False	4	SEG	0.364806996449	3
U4	False	4	RAN	0.0982933484347	2
U4	False	4	REL	0.0521217041672	2
U4	True	4	SEG	0.218788857151	3
U4	True	4	RAN	-0.00319795603532	2
U4	True	4	REL	-0.0246769877124	1
U4	False	4	SEG	0.939073272281	4
U4	False	4	RAN	0.710855909344	4
U4	False	4	REL	0.689376877667	4
U4	False	5	SEG	0.929203655574	4
U4	False	5	RAN	0.56327931183	4
U4	False	5	REL	0.846990094505	4
U4	False	5	SEG	0.328819222101	3
U4	False	5	RAN	0.00729329194514	2
U4	False	5	REL	0.275736602489	3
U4	True	5	SEG	0.6989981267	4
U4	True	5	RAN	0.525271963246	4
U4	True	5	REL	0.783733783736	4
U4	True	5	SEG	0.0986136932265	2
U4	True	5	RAN	-0.0307140566391	1
U4	True	5	REL	0.212480291721	3
U5	False	2	SEG	-0.24167395684	1
U5	False	2	RAN	-0.20818777381	1
U5	False	2	REL	-0.469552537944	0
U5	False	2	SEG	-0.176927312182	1
U5	False	2	RAN	-0.683599745065	0
U5	False	2	REL	-0.452488024101	0
U5	True	2	SEG	-0.351871573191	0
U5	True	2	RAN	-0.240863121216	1
U5	True	2	REL	-0.434846617758	0
U5	True	2	SEG	-0.287124928533	0
U5	True	2	RAN	-0.716275092471	0
U5	True	2	REL	-0.417782103915	0
U5	False	4	SEG	-1.10423380594	0
U5	False	4	RAN	-1.0792917857	0
U5	False	4	REL	-1.00445480294	0
U5	False	4	SEG	-1.05779616185	0
U5	False	4	RAN	-1.00400598726	0
U5	False	4	REL	-1.12761994323	0
U5	True	4	SEG	-0.420585569547	0
U5	True	4	RAN	-0.159481502898	1
U5	True	4	REL	0.13427961563	2
U5	False	4	SEG	-0.374147925452	0
U5	False	4	RAN	-0.0841957044658	1
U5	False	4	REL	0.0111144753385	2
U5	False	5	SEG	0.700334519765	4
U5	False	5	RAN	0.0866144728368	2
U5	False	5	REL	-0.201067599615	1
U5	False	5	SEG	1.64873488066	4
U5	False	5	RAN	0.737382430428	4
U5	False	5	REL	0.0442352498679	2
U5	False	5	SEG	0.128811366698	2
U5	False	5	RAN	-0.53420607241	0
U5	False	5	REL	-0.787479365176	0
U5	False	5	SEG	1.07721172759	4
U5	False	5	RAN	0.116561885181	2
U5	False	5	REL	-0.542176515693	0
U6	False	2	SEG	0.880445185995	4
U6	False	2	RAN	0.878440507743	4
U6	False	2	REL	0.99176919305	4
U6	False	2	SEG	0.657578216136	4
U6	False	2	RAN	0.548290736861	4
U6	False	2	REL	0.654239314871	4
U6	False	2	SEG	0.659294402335	4
U6	False	2	RAN	0.707906906701	4
U6	False	2	REL	0.781389683461	4
U6	False	3	SEG	-0.0248408625847	1
U6	False	3	RAN	0.127760630256	2
U6	False	3	REL	0.0865176717216	2
U6	False	3	SEG	0.0323515920701	2
U6	False	3	RAN	0.0563357070885	2
U6	False	3	REL	0.140255891508	2
U6	True	3	SEG	-0.332022260344	0
U6	True	3	RAN	-0.142526743148	1
U6	True	3	REL	-0.249136478206	1
U6	False	3	SEG	-0.274829805689	0
U6	False	3	RAN	-0.213951666315	1
U6	False	3	REL	-0.195398258419	1
U6	False	4	SEG	0.262061228918	3
U6	False	4	RAN	0.204150312974	3
U6	False	4	REL	0.194138677559	3
U6	False	4	SEG	0.331964775014	3
U6	False	4	RAN	0.308611547995	3
U6	False	4	REL	0.322168658954	3
U6	False	4	SEG	0.215501584997	3
U6	False	4	RAN	0.200515713769	3
U6	False	4	REL	0.162467646132	2
U6	False	4	SEG	0.285405131093	3
U6	False	4	RAN	0.304976948791	3
U6	False	4	REL	0.290497627526	3
U6	True	5	SEG	0.159260651102	2
U6	True	5	RAN	0.0495429558072	2
U6	True	5	REL	0.159903912956	2
U6	True	5	SEG	0.129826150527	2
U6	True	5	RAN	0.163209298873	2
U6	True	5	REL	0.181762706769	3
U6	True	5	SEG	0.152509132337	2
U6	True	5	RAN	0.03692631759	2
U6	True	5	REL	0.0879118723229	2
U6	True	5	SEG	0.123074631762	2
U6	True	5	RAN	0.150592660656	2
U6	True	5	REL	0.109770666135	2
U7	False	2	SEG	0.0769541121136	2
U7	False	2	RAN	0.662197679828	4
U7	False	2	REL	0.61399557801	4
U7	False	2	SEG	0.136959122129	2
U7	False	2	RAN	0.205560680756	3
U7	False	2	REL	0.570203794344	4
U7	True	2	SEG	0.0123457024482	2
U7	True	2	RAN	0.434980803126	4
U7	True	2	REL	0.397952001907	3
U7	False	2	SEG	0.0723507124636	2
U7	False	2	RAN	-0.0216561959455	1
U7	False	2	REL	0.354160218241	3
U7	False	3	SEG	0.506507745415	4
U7	False	3	RAN	0.676134887921	4
U7	False	3	REL	0.702452196238	4
U7	False	3	SEG	0.584354447755	4
U7	False	3	RAN	1.00871950699	4
U7	False	3	REL	1.09776007378	4
U7	False	3	SEG	0.167554854573	2
U7	False	3	RAN	0.234504503345	3
U7	False	3	REL	0.443143368456	4
U7	False	4	SEG	0.0356120717889	2
U7	False	4	RAN	0.464305608131	4
U7	False	4	REL	0.428102559467	4
U7	False	4	SEG	0.233355926438	3
U7	False	4	RAN	0.630097862974	4
U7	False	4	REL	0.527203439811	4
U7	True	4	SEG	-0.00375234961855	2
U7	True	4	RAN	0.497753542199	4
U7	True	4	REL	0.450500657348	4
U7	True	4	SEG	0.193991505031	3
U7	True	4	RAN	0.663545797041	4
U7	True	4	REL	0.549601537692	4
U7	True	5	SEG	0.445371832577	4
U7	True	5	RAN	0.438316397624	4
U7	True	5	REL	0.443345746029	4
U7	True	5	SEG	0.134068305389	2
U7	True	5	RAN	0.111012529089	2
U7	True	5	REL	0.466902851567	4
U7	True	5	SEG	0.00531489734493	2
U7	True	5	RAN	0.0164726142156	2
U7	True	5	REL	-0.0651683502457	1
U7	True	5	SEG	-0.305988629843	0
U7	True	5	RAN	-0.310831254319	0
U7	True	5	REL	-0.0416112447067	1
U8	False	2	SEG	0.750343898827	4
U8	False	2	RAN	0.168071414613	2
U8	False	2	REL	-0.217591066199	1
U8	False	2	SEG	-0.00577748149384	2
U8	False	2	RAN	0.0594867035995	2
U8	False	2	REL	-0.0474623747434	1
U8	False	2	SEG	0.967638535966	4
U8	False	2	RAN	0.0931692989456	2
U8	False	2	REL	-0.301824509295	0
U8	False	2	SEG	0.211517155645	3
U8	False	2	RAN	-0.0154154120674	2
U8	False	2	REL	-0.131695817839	1
U8	False	3	SEG	0.112223528479	2
U8	False	3	RAN	0.117088238589	2
U8	False	3	REL	-0.0168341914624	2
U8	False	3	SEG	0.511605070923	4
U8	False	3	RAN	0.706489284923	4
U8	False	3	REL	0.499309584598	4
U8	True	3	SEG	-0.220118333012	1
U8	True	3	RAN	-0.250913803301	1
U8	True	3	REL	-0.361579371188	0
U8	True	3	SEG	0.179263209432	3
U8	True	3	RAN	0.338487243033	3
U8	True	3	REL	0.154564404872	2
U8	True	4	SEG	-0.348587148606	0
U8	True	4	RAN	-0.395686035458	0
U8	True	4	REL	-0.887248360149	0
U8	True	4	SEG	-0.20127843705	1
U8	True	4	RAN	-0.153761347527	1
U8	True	4	REL	-0.817173929144	0
U8	True	4	SEG	-0.731661170173	0
U8	True	4	RAN	-0.570184450254	0
U8	True	4	REL	-1.13289143076	0
U8	True	4	SEG	-0.584352458617	0
U8	True	4	RAN	-0.328259762323	0
U8	True	4	REL	-1.06281699975	0
U8	False	5	SEG	0.00759775363276	2
U8	False	5	RAN	0.154992643336	2
U8	False	5	REL	-0.294147528275	0
U8	False	5	SEG	-0.0673080781275	1
U8	False	5	RAN	0.280724980895	3
U8	False	5	REL	0.209461960873	3
U8	True	5	SEG	0.309289802046	3
U8	True	5	RAN	0.296430228984	3
U8	True	5	REL	-0.151983462391	1
U8	False	5	SEG	0.234383970286	3
U8	False	5	RAN	0.422162566543	4
U8	False	5	REL	0.351626026757	3
U9	False	2	SEG	0.398060160102	3
U9	False	2	RAN	0.461034959263	4
U9	False	2	REL	0.317934115622	3
U9	False	2	SEG	0.0527878482607	2
U9	False	2	RAN	0.318286911534	3
U9	False	2	REL	0.175186067893	3
U9	True	2	SEG	0.0182032065264	2
U9	True	2	RAN	0.258344334209	3
U9	True	2	REL	-0.158049844431	1
U9	True	2	SEG	-0.327069105315	0
U9	True	2	RAN	0.11559628648	2
U9	True	2	REL	-0.300797892161	0
U9	False	3	SEG	0.16412613603	2
