id,jobid,settingid,taskid,docseq
1,0,1,1,1-4-2-5
2,1,1,2,1-2-4-5
3,2,1,3,4-5-1-2
4,3,1,4,1-4-2-5
5,4,1,5,1-4-5-2
6,0,2,1,1-4-2-5
7,1,2,2,1-2-4-5
8,2,2,3,4-5-1-2
9,3,2,4,1-4-5-2
10,4,2,5,1-4-2-5
11,0,3,1,1-4-2-5
12,1,3,2,1-2-4-5
13,2,3,3,1-4-2-5
14,3,3,4,4-5-1-2
15,4,3,5,1-4-5-2
16,0,4,1,1-4-2-5
17,1,4,2,1-2-4-5
18,2,4,3,1-4-2-5
19,3,4,4,1-4-5-2
20,4,4,5,4-5-1-2
21,0,5,1,1-4-2-5
22,1,5,2,1-2-4-5
23,2,5,3,1-4-5-2
24,3,5,4,4-5-1-2
25,4,5,5,1-4-2-5
26,0,6,1,1-4-2-5
27,1,6,2,1-2-4-5
28,2,6,3,1-4-5-2
29,3,6,4,1-4-2-5
30,4,6,5,4-5-1-2
31,0,7,1,1-4-2-5
32,1,7,2,4-5-1-2
33,2,7,3,1-2-4-5
34,3,7,4,1-4-2-5
35,4,7,5,1-4-5-2
36,0,8,1,1-4-2-5
37,1,8,2,4-5-1-2
38,2,8,3,1-2-4-5
39,3,8,4,1-4-5-2
40,4,8,5,1-4-2-5
41,0,9,1,1-4-2-5
42,1,9,2,4-5-1-2
43,2,9,3,1-4-2-5
44,3,9,4,1-2-4-5
45,4,9,5,1-4-5-2
46,0,10,1,1-4-2-5
47,1,10,2,4-5-1-2
48,2,10,3,1-4-2-5
49,3,10,4,1-4-5-2
50,4,10,5,1-2-4-5
51,0,11,1,1-4-2-5
52,1,11,2,4-5-1-2
53,2,11,3,1-4-5-2
54,3,11,4,1-2-4-5
55,4,11,5,1-4-2-5
56,0,12,1,1-4-2-5
57,1,12,2,4-5-1-2
58,2,12,3,1-4-5-2
59,3,12,4,1-4-2-5
60,4,12,5,1-2-4-5
61,0,13,1,1-4-2-5
62,1,13,2,1-4-2-5
63,2,13,3,1-2-4-5
64,3,13,4,4-5-1-2
65,4,13,5,1-4-5-2
66,0,14,1,1-4-2-5
67,1,14,2,1-4-2-5
68,2,14,3,1-2-4-5
69,3,14,4,1-4-5-2
70,4,14,5,4-5-1-2
71,0,15,1,1-4-2-5
72,1,15,2,1-4-2-5
73,2,15,3,4-5-1-2
74,3,15,4,1-2-4-5
75,4,15,5,1-4-5-2
76,0,16,1,1-4-2-5
77,1,16,2,1-4-2-5
78,2,16,3,4-5-1-2
79,3,16,4,1-4-5-2
80,4,16,5,1-2-4-5
81,0,17,1,1-4-2-5
82,1,17,2,1-4-2-5
83,2,17,3,1-4-5-2
84,3,17,4,1-2-4-5
85,4,17,5,4-5-1-2
86,0,18,1,1-4-2-5
87,1,18,2,1-4-2-5
88,2,18,3,1-4-5-2
89,3,18,4,4-5-1-2
90,4,18,5,1-2-4-5
91,0,19,1,1-4-2-5
92,1,19,2,1-4-5-2
93,2,19,3,1-2-4-5
94,3,19,4,4-5-1-2
95,4,19,5,1-4-2-5
96,0,20,1,1-4-2-5
97,1,20,2,1-4-5-2
98,2,20,3,1-2-4-5
99,3,20,4,1-4-2-5
100,4,20,5,4-5-1-2
101,0,21,1,1-4-2-5
102,1,21,2,1-4-5-2
103,2,21,3,4-5-1-2
104,3,21,4,1-2-4-5
105,4,21,5,1-4-2-5
106,0,22,1,1-4-2-5
107,1,22,2,1-4-5-2
108,2,22,3,4-5-1-2
109,3,22,4,1-4-2-5
110,4,22,5,1-2-4-5
111,0,23,1,1-4-2-5
112,1,23,2,1-4-5-2
113,2,23,3,1-4-2-5
114,3,23,4,1-2-4-5
115,4,23,5,4-5-1-2
116,0,24,1,1-4-2-5
117,1,24,2,1-4-5-2
118,2,24,3,1-4-2-5
119,3,24,4,4-5-1-2
120,4,24,5,1-2-4-5
