id,studentid,jobid,action,content
1,2015012620,1,BEGIN_CALIBRATION,TIMESTAMP=1450160919533	USER=2015012620	JOBID=1	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
2,2015012620,1,END_CALIBRATION,TIMESTAMP=1450160964186	USER=2015012620	JOBID=1	DOCID=0	ACTION=END_CALIBRATION	INFO:
3,2015012620,1,BEGIN_CALIBRATION,TIMESTAMP=1450160968123	USER=2015012620	JOBID=1	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
4,2015012620,1,END_CALIBRATION,TIMESTAMP=1450161016371	USER=2015012620	JOBID=1	DOCID=9	ACTION=END_CALIBRATION	INFO:
5,2015012620,1,BEGIN_READING,TIMESTAMP=1450161032404	USER=2015012620	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
6,2015012620,1,END_READING,TIMESTAMP=1450161129373	USER=2015012620	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
7,2015012620,1,BEGIN_READING,TIMESTAMP=1450161130706	USER=2015012620	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
8,2015012620,1,END_READING,TIMESTAMP=1450161209888	USER=2015012620	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
9,2015012620,1,RELEVANCE_ANNOTATION,TIMESTAMP=1450161214038	USER=2015012620	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=0
10,2015012620,1,BEGIN_READING,TIMESTAMP=1450161214904	USER=2015012620	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
11,2015012620,1,END_READING,TIMESTAMP=1450161330920	USER=2015012620	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
12,2015012620,1,RELEVANCE_ANNOTATION,TIMESTAMP=1450161332705	USER=2015012620	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=2
13,2015012620,1,BEGIN_READING,TIMESTAMP=1450161333506	USER=2015012620	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
14,2015012620,1,END_READING,TIMESTAMP=1450161406253	USER=2015012620	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
15,2015012620,1,RELEVANCE_ANNOTATION,TIMESTAMP=1450161409518	USER=2015012620	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
16,2015012620,1,TIME_1,TIMESTAMP=1450161441204	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME_1	INFO:Segments=281_527_863_
17,2015012620,1,TIME_1,TIMESTAMP=1450161441204	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME_1	INFO:Segments=281_527_863_
18,2015012620,1,TIME2,TIMESTAMP=1450161524585	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME2	INFO:Range=_15_18_12_15_16_20_6_10_[object Object]_[object Object]
19,2015012620,1,TIME2,TIMESTAMP=1450161524585	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME2	INFO:Range=_15_18_12_15_16_20_6_10_[object Object]_[object Object]
20,2015012620,1,TIME3,TIMESTAMP=1450161557147	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME3	INFO: Relative=67_51_89_31_
21,2015012620,1,TIME3,TIMESTAMP=1450161557147	USER=2015012620	JOBID=1	DOCID=0	ACTION=TIME3	INFO: Relative=67_51_89_31_
22,2015012620,1,OUTCOME,"TIMESTAMP=1450161595281	USER=2015012620	JOBID=1	DOCID=0	ACTION=OUTCOME	INFO:answer=suggestibility, empathy. social bond"
23,2015012620,1,OUTCOME,"TIMESTAMP=1450161595281	USER=2015012620	JOBID=1	DOCID=0	ACTION=OUTCOME	INFO:answer=suggestibility, empathy. social bond"
24,2015012620,2,BEGIN_READING,TIMESTAMP=1450161698104	USER=2015012620	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
25,2015012620,2,END_READING,TIMESTAMP=1450161876358	USER=2015012620	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
26,2015012620,2,RELEVANCE_ANNOTATION,TIMESTAMP=1450161881315	USER=2015012620	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
27,2015012620,2,BEGIN_READING,TIMESTAMP=1450161882085	USER=2015012620	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
28,2015012620,2,END_READING,TIMESTAMP=1450162040778	USER=2015012620	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
29,2015012620,2,RELEVANCE_ANNOTATION,TIMESTAMP=1450162049713	USER=2015012620	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=2
30,2015012620,2,BEGIN_READING,TIMESTAMP=1450162051885	USER=2015012620	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
31,2015012620,2,END_READING,TIMESTAMP=1450162116260	USER=2015012620	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
32,2015012620,2,RELEVANCE_ANNOTATION,TIMESTAMP=1450162119480	USER=2015012620	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=0
33,2015012620,2,BEGIN_READING,TIMESTAMP=1450162120481	USER=2015012620	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
34,2015012620,2,END_READING,TIMESTAMP=1450162167429	USER=2015012620	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
35,2015012620,2,RELEVANCE_ANNOTATION,TIMESTAMP=1450162170827	USER=2015012620	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
36,2015012620,2,TIME_1,TIMESTAMP=1450162199716	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME_1	INFO:Segments=335_694_839_
37,2015012620,2,TIME_1,TIMESTAMP=1450162199716	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME_1	INFO:Segments=335_694_839_
38,2015012620,2,TIME2,TIMESTAMP=1450162244273	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME2	INFO:Range=_16_18_18_20_6_8_5_7_[object Object]_[object Object]
39,2015012620,2,TIME2,TIMESTAMP=1450162244273	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME2	INFO:Range=_16_18_18_20_6_8_5_7_[object Object]_[object Object]
40,2015012620,2,TIME3,TIMESTAMP=1450162267156	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME3	INFO: Relative=80_89_33_30_
41,2015012620,2,TIME3,TIMESTAMP=1450162267156	USER=2015012620	JOBID=2	DOCID=0	ACTION=TIME3	INFO: Relative=80_89_33_30_
42,2015012620,2,OUTCOME,"TIMESTAMP=1450162427546	USER=2015012620	JOBID=2	DOCID=0	ACTION=OUTCOME	INFO:answer=The film industry started in the 1890s. Initially it was silent and short Then with the development of equipment,films are longer and more complicated. The form of illustrated songs also changed."
43,2015012620,2,OUTCOME,"TIMESTAMP=1450162427546	USER=2015012620	JOBID=2	DOCID=0	ACTION=OUTCOME	INFO:answer=The film industry started in the 1890s. Initially it was silent and short Then with the development of equipment,films are longer and more complicated. The form of illustrated songs also changed."
44,2015012620,3,BEGIN_READING,TIMESTAMP=1450162634013	USER=2015012620	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
45,2015012620,3,END_READING,TIMESTAMP=1450162745221	USER=2015012620	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=1
46,2015012620,3,RELEVANCE_ANNOTATION,TIMESTAMP=1450162748598	USER=2015012620	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=1
47,2015012620,3,BEGIN_READING,TIMESTAMP=1450162749814	USER=2015012620	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
48,2015012620,3,END_READING,TIMESTAMP=1450162880191	USER=2015012620	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=2
49,2015012620,3,RELEVANCE_ANNOTATION,TIMESTAMP=1450162883059	USER=2015012620	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=1
50,2015012620,3,BEGIN_READING,TIMESTAMP=1450162884240	USER=2015012620	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
51,2015012620,3,END_READING,TIMESTAMP=1450163056589	USER=2015012620	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=3
52,2015012620,3,RELEVANCE_ANNOTATION,TIMESTAMP=1450163059376	USER=2015012620	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=3
53,2015012620,3,BEGIN_READING,TIMESTAMP=1450163060206	USER=2015012620	JOBID=3	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
54,2015012620,3,END_READING,TIMESTAMP=1450163271458	USER=2015012620	JOBID=3	ACTION=END_READING	INFO: CURRENT_DOC=4
55,2015012620,3,RELEVANCE_ANNOTATION,TIMESTAMP=1450163278507	USER=2015012620	JOBID=3	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=3
56,2015012620,3,TIME_1,TIMESTAMP=1450163312710	USER=2015012620	JOBID=3	DOCID=0	ACTION=TIME_1	INFO:Segments=273_459_724_
57,2015012620,3,TIME_1,TIMESTAMP=1450163312710	USER=2015012620	JOBID=3	DOCID=0	ACTION=TIME_1	INFO:Segments=273_459_724_
