studentid,taskid,docid,docrank,perceived relevance,dwell time,time1,time2_low,time2_high,time3,,R,IR,R-dtime,IR-dtime,avg-R-dtime,avg-IR-dtime,avg-(R-IR)-dtime
2014012780,2,1,1,3,118.7,361,130,150,100,,TRUE,FALSE,118.7,0,102.5142857,52.21111111,50.3031746
2014012780,2,4,2,0,40.2,199,60,80,49,,FALSE,TRUE,0,40.2,,,
2014012780,2,5,3,0,56.8,190,60,80,49,,FALSE,TRUE,0,56.8,,,
2014012780,2,2,4,2,78.4,250,100,130,80,,TRUE,FALSE,78.4,0,,,
2014012780,3,4,1,1,59.1,176,60,90,41,,FALSE,TRUE,0,59.1,,,
2014012780,3,5,2,1,74,191,70,100,42,,FALSE,TRUE,0,74,,,
2014012780,3,1,3,3,136.8,368,120,150,100,,TRUE,FALSE,136.8,0,,,
2014012780,3,2,4,2,73,265,100,130,80,,TRUE,FALSE,73,0,,,
2014012780,4,1,1,1,51.2,290,80,110,80,,FALSE,TRUE,0,51.2,,,
2014012780,4,2,2,3,88.9,322,100,130,100,,TRUE,FALSE,88.9,0,,,
2014012780,4,4,3,0,42.2,214,70,90,52,,FALSE,TRUE,0,42.2,,,
2014012780,4,5,4,0,47.2,174,70,90,53,,FALSE,TRUE,0,47.2,,,
2014012780,5,1,1,3,132.3,384,120,150,100,,TRUE,FALSE,132.3,0,,,
2014012780,5,4,2,0,51.2,126,70,100,55,,FALSE,TRUE,0,51.2,,,
2014012780,5,2,3,2,89.5,315,100,120,80,,TRUE,FALSE,89.5,0,,,
2014012780,5,5,4,0,48,175,70,100,45,,FALSE,TRUE,0,48,,,
2015011043,2,1,1,3,92.8,393,90,100,99,,TRUE,FALSE,92.8,0,111.9125,82.4875,29.425
2015011043,2,4,2,0,59,200,30,40,23,,FALSE,TRUE,0,59,,,
2015011043,2,5,3,1,73.9,157,30,40,30,,FALSE,TRUE,0,73.9,,,
2015011043,2,2,4,3,104.5,250,60,70,72,,TRUE,FALSE,104.5,0,,,
2015011043,3,1,1,3,72.9,195,30,40,36,,TRUE,FALSE,72.9,0,,,
2015011043,3,4,2,1,98,313,90,100,86,,FALSE,TRUE,0,98,,,
2015011043,3,2,3,3,147.3,276,70,80,61,,TRUE,FALSE,147.3,0,,,
2015011043,3,5,4,1,109,216,30,40,48,,FALSE,TRUE,0,109,,,
2015011043,4,4,1,1,136.8,242,70,80,63,,FALSE,TRUE,0,136.8,,,
2015011043,4,5,2,0,74.6,191,30,40,39,,FALSE,TRUE,0,74.6,,,
2015011043,4,1,3,3,164,318,110,120,92,,TRUE,FALSE,164,0,,,
2015011043,4,2,4,2,88.1,249,90,100,72,,TRUE,FALSE,88.1,0,,,
2015011043,5,1,1,3,125.4,349,90,100,91,,TRUE,FALSE,125.4,0,,,
2015011043,5,2,2,3,100.3,307,80,90,94,,TRUE,FALSE,100.3,0,,,
2015011043,5,4,3,0,41.8,153,30,40,41,,FALSE,TRUE,0,41.8,,,
2015011043,5,5,4,1,66.8,191,30,40,51,,FALSE,TRUE,0,66.8,,,
2015012653,2,4,1,0,105.4,128,30,40,37,,FALSE,TRUE,0,105.4,165.125,78.375,86.75
2015012653,2,5,2,0,71.5,105,20,30,26,,FALSE,TRUE,0,71.5,,,
2015012653,2,1,3,3,185.3,405,90,100,97,,TRUE,FALSE,185.3,0,,,
2015012653,2,2,4,2,158.7,362,80,90,94,,TRUE,FALSE,158.7,0,,,
2015012653,3,1,1,3,154.7,291,90,110,87,,TRUE,FALSE,154.7,0,,,
2015012653,3,4,2,1,122.4,209,50,60,62,,FALSE,TRUE,0,122.4,,,
2015012653,3,2,3,3,139.3,303,120,140,100,,TRUE,FALSE,139.3,0,,,
2015012653,3,5,4,1,89.6,197,60,80,70,,FALSE,TRUE,0,89.6,,,
2015012653,4,1,1,3,220,287,70,80,90,,TRUE,FALSE,220,0,,,
2015012653,4,2,2,3,118.8,289,80,90,75,,TRUE,FALSE,118.8,0,,,
2015012653,4,4,3,0,112.1,287,60,70,100,,FALSE,TRUE,0,112.1,,,
2015012653,4,5,4,0,51.7,137,20,30,45,,FALSE,TRUE,0,51.7,,,
2015012653,5,1,1,3,219.9,331,100,110,94,,TRUE,FALSE,219.9,0,,,
2015012653,5,4,2,0,25.7,121,20,30,25,,FALSE,TRUE,0,25.7,,,
2015012653,5,5,3,1,48.6,146,20,30,29,,FALSE,TRUE,0,48.6,,,
2015012653,5,2,4,3,124.3,402,100,120,96,,TRUE,FALSE,124.3,0,,,
2014011319,2,1,1,3,218.8,351,200,220,80,,TRUE,FALSE,218.8,0,176.7428571,85.14444444,91.5984127
2014011319,2,2,2,2,171.2,483,270,300,100,,TRUE,FALSE,171.2,0,,,
2014011319,2,4,3,0,100.4,135,70,80,39,,FALSE,TRUE,0,100.4,,,
2014011319,2,5,4,0,35.2,31,10,20,6,,FALSE,TRUE,0,35.2,,,
2014011319,3,1,1,3,266.8,434,150,160,80,,TRUE,FALSE,266.8,0,,,
