studentid,m1-m2-R-R,m1-m2-R-I,m1-m2-I-I,m1-m2-total,m1-m3-R-R,m1-m3-R-I,m1-m3-I-I,m1-m3-total,m2-m3-R-R,m2-m3-R-I,m2-m3-I-I,m2-m3-total,m1-R-R,m1-R-I,m1-I-I,m2-R-R,m2-R-I,m2-I-I,m3-R-R,m3-R-I,m3-I-I
2015212354,0.833333333333,1.0,1.0,0.958333333333,0.5,0.133333333333,0.333333333333,0.25,0.5,0.133333333333,0.333333333333,0.25,0.5,0.733333333333,1.0,0.833333333333,0.8,1.0,0.333333333333,0.266666666667,0.333333333333
2015011043,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.916666666667,0.75,1.0,1.0,0.958333333333,0.75,0.875,0.5,0.75,0.875,0.75,0.5,0.875,0.75
2015012653,1.0,1.0,0.75,0.958333333333,0.75,0.9375,0.75,0.875,0.75,0.875,1.0,0.875,0.25,1.0,1.0,0.25,1.0,0.75,0.5,0.875,0.75
2014011319,1.0,0.933333333333,1.0,0.958333333333,1.0,0.933333333333,1.0,0.958333333333,1.0,1.0,1.0,1.0,0.666666666667,0.933333333333,0.833333333333,0.666666666667,1.0,0.833333333333,0.666666666667,1.0,0.833333333333
2015012679,0.5,0.666666666667,0.666666666667,0.625,0.833333333333,0.8,1.0,0.833333333333,0.666666666667,0.733333333333,0.666666666667,0.708333333333,0.833333333333,0.666666666667,0.666666666667,0.5,1.0,1.0,0.833333333333,0.733333333333,0.666666666667
2015012676,0.909090909091,0.818181818182,1.0,0.875,0.363636363636,0.818181818182,1.0,0.625,0.636363636364,1.0,1.0,0.833333333333,0.727272727273,0.818181818182,1.0,0.818181818182,0.818181818182,1.0,0.636363636364,0.818181818182,1.0
2015012674,1.0,1.0,0.666666666667,0.916666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,0.958333333333,1.0,1.0,0.833333333333,1.0,1.0,0.833333333333,1.0,1.0,0.833333333333
2014012780,1.0,1.0,1.0,1.0,1.0,1.0,0.666666666667,0.916666666667,1.0,1.0,1.0,1.0,1.0,0.933333333333,0.5,1.0,0.933333333333,1.0,1.0,0.933333333333,1.0
2015012617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75
2015012610,0.666666666667,1.0,0.666666666667,0.875,0.833333333333,1.0,0.666666666667,0.916666666667,0.833333333333,1.0,1.0,0.958333333333,0.833333333333,0.933333333333,0.666666666667,0.5,0.933333333333,1.0,0.666666666667,0.933333333333,1.0
2015012618,0.666666666667,0.933333333333,0.666666666667,0.833333333333,0.666666666667,0.866666666667,0.666666666667,0.791666666667,1.0,0.933333333333,1.0,0.958333333333,0.333333333333,0.8,0.666666666667,0.666666666667,0.866666666667,0.333333333333,0.666666666667,0.933333333333,0.333333333333
2015012811,1.0,1.0,0.75,0.958333333333,1.0,1.0,0.75,0.958333333333,1.0,1.0,1.0,1.0,0.75,0.9375,0.0,1.0,0.9375,0.75,0.75,0.9375,0.25
2012012767,0.833333333333,1.0,1.0,0.958333333333,0.833333333333,1.0,1.0,0.958333333333,1.0,1.0,1.0,1.0,0.666666666667,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0
2015012609,1.0,1.0,1.0,1.0,1.0,0.933333333333,0.666666666667,0.875,1.0,1.0,1.0,1.0,0.666666666667,0.8,0.833333333333,0.666666666667,0.866666666667,1.0,0.666666666667,0.733333333333,0.833333333333
2014012759,0.666666666667,0.933333333333,0.833333333333,0.875,0.666666666667,0.933333333333,0.833333333333,0.875,1.0,0.866666666667,1.0,0.916666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.6,0.833333333333,0.333333333333,0.733333333333,0.833333333333
2014012772,0.5,0.6875,1.0,0.708333333333,1.0,0.75,0.75,0.791666666667,0.5,0.9375,1.0,0.875,0.5,0.75,0.75,1.0,0.8125,1.0,0.5,0.875,1.0
2015012649,1.0,0.866666666667,0.666666666667,0.875,0.833333333333,0.8,0.666666666667,0.791666666667,1.0,1.0,1.0,1.0,0.833333333333,0.6,0.333333333333,1.0,0.666666666667,0.666666666667,1.0,0.666666666667,0.666666666667
2015012620,0.75,0.9375,0.75,0.875,0.5,0.9375,0.75,0.833333333333,1.0,1.0,1.0,1.0,0.5,0.9375,0.25,0.75,0.875,0.75,0.5,0.875,0.75
2015012623,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.866666666667,0.833333333333,1.0,0.866666666667,0.833333333333,1.0,0.866666666667,0.833333333333
2015012622,1.0,1.0,1.0,1.0,0.777777777778,1.0,1.0,0.916666666667,0.888888888889,1.0,1.0,0.958333333333,0.888888888889,1.0,0.666666666667,0.888888888889,1.0,0.666666666667,0.666666666667,1.0,1.0
2015012625,0.75,1.0,0.75,0.916666666667,0.75,1.0,0.75,0.916666666667,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.75
2015012624,0.666666666667,1.0,0.833333333333,0.916666666667,0.666666666667,1.0,0.666666666667,0.875,1.0,1.0,0.666666666667,0.916666666667,1.0,1.0,0.5,0.666666666667,1.0,0.5,0.666666666667,1.0,1.0
2015012828,0.5,0.875,1.0,0.833333333333,0.25,0.75,0.75,0.666666666667,0.75,0.75,0.75,0.75,1.0,0.6875,1.0,0.5,0.6875,1.0,0.25,0.9375,0.75
2011012756,1.0,1.0,0.75,0.958333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9375,0.75,0.75,1.0,0.75,0.75,1.0,1.0
