id,studentid,jobid,action,content
1,1,1,BEGIN_CALIBRATION,TIMESTAMP=1449742720864	USER=1	JOBID=1	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
2,1,1,END_CALIBRATION,TIMESTAMP=1449742723935	USER=1	JOBID=1	DOCID=0	ACTION=END_CALIBRATION	INFO:
3,1,1,BEGIN_CALIBRATION,TIMESTAMP=1449742726103	USER=1	JOBID=1	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
4,1,1,END_CALIBRATION,TIMESTAMP=1449742727805	USER=1	JOBID=1	DOCID=9	ACTION=END_CALIBRATION	INFO:
5,1,1,BEGIN_READING,TIMESTAMP=1449742733205	USER=1	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
6,1,1,END_READING,TIMESTAMP=1449742735552	USER=1	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
7,1,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449742739093	USER=1	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=2
8,1,1,BEGIN_READING,TIMESTAMP=1449742739946	USER=1	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
9,1,1,END_READING,TIMESTAMP=1449742742167	USER=1	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
10,1,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449742743809	USER=1	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=2
11,1,1,BEGIN_READING,TIMESTAMP=1449742744804	USER=1	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
12,1,1,BEGIN_READING,TIMESTAMP=1449742745490	USER=1	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
13,1,1,TIME_ESTIMATION,TIMESTAMP=1449742758093	USER=1	JOBID=1	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=386_489_648_
14,2015012616,1,BEGIN_CALIBRATION,TIMESTAMP=1449743097407	USER=2015012616	JOBID=1	DOCID=0	ACTION=BEGIN_CALIBRATION	INFO:
15,2015012616,1,END_CALIBRATION,TIMESTAMP=1449743182190	USER=2015012616	JOBID=1	DOCID=0	ACTION=END_CALIBRATION	INFO:
16,2015012616,1,BEGIN_CALIBRATION,TIMESTAMP=1449743198990	USER=2015012616	JOBID=1	DOCID=9	ACTION=BEGIN_CALIBRATION	INFO:
17,2015012616,1,END_CALIBRATION,TIMESTAMP=1449743366412	USER=2015012616	JOBID=1	DOCID=9	ACTION=END_CALIBRATION	INFO:
18,2015012616,1,BEGIN_READING,TIMESTAMP=1449743392015	USER=2015012616	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
19,2015012616,1,END_READING,TIMESTAMP=1449743567444	USER=2015012616	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=1
20,2015012616,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449743609771	USER=2015012616	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
21,2015012616,1,BEGIN_READING,TIMESTAMP=1449743611515	USER=2015012616	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
22,2015012616,1,END_READING,TIMESTAMP=1449743814761	USER=2015012616	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=2
23,2015012616,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449743826122	USER=2015012616	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=3
24,2015012616,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449743829865	USER=2015012616	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=3
25,2015012616,1,BEGIN_READING,TIMESTAMP=1449743831418	USER=2015012616	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
26,2015012616,1,END_READING,TIMESTAMP=1449743889625	USER=2015012616	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=3
27,2015012616,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449743891633	USER=2015012616	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=0
28,2015012616,1,BEGIN_READING,TIMESTAMP=1449743892658	USER=2015012616	JOBID=1	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
29,2015012616,1,END_READING,TIMESTAMP=1449743944905	USER=2015012616	JOBID=1	ACTION=END_READING	INFO: CURRENT_DOC=4
30,2015012616,1,RELEVANCE_ANNOTATION,TIMESTAMP=1449743947410	USER=2015012616	JOBID=1	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
31,2015012616,1,TIME_ESTIMATION,TIMESTAMP=1449743983688	USER=2015012616	JOBID=1	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=458_775_870_
32,2015012616,1,RELATIVE_ESTIMATION,TIMESTAMP=1449744066208	USER=2015012616	JOBID=1	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_16_19_7_9_2_3_2_2_30_33 Relative=100_79_23_24_
33,2015012616,2,BEGIN_READING,TIMESTAMP=1449744298370	USER=2015012616	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
34,2015012616,2,END_READING,TIMESTAMP=1449744476869	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=1
35,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744480389	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=1 REL=3
36,2015012616,2,BEGIN_READING,TIMESTAMP=1449744481541	USER=2015012616	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
37,2015012616,2,END_READING,TIMESTAMP=1449744527654	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=2
38,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744529957	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=2 REL=0
39,2015012616,2,BEGIN_READING,TIMESTAMP=1449744531790	USER=2015012616	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
40,2015012616,2,END_READING,TIMESTAMP=1449744686907	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=3
41,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744689555	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=3
42,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744691979	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=-1
43,2015012616,2,BEGIN_READING,TIMESTAMP=1449744692724	USER=2015012616	JOBID=2	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
44,2015012616,2,END_READING,TIMESTAMP=1449744744059	USER=2015012616	JOBID=2	ACTION=END_READING	INFO: CURRENT_DOC=4
45,2015012616,2,RELEVANCE_ANNOTATION,TIMESTAMP=1449744745938	USER=2015012616	JOBID=2	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=3
